image_name,pull_count,star_count,categories
mongodb/mongodb-atlas-kubernetes-operator-prerelease,100K+,0,databases-and-storage;integration-and-delivery;monitoring-and-observability
google/apigee-cassandra-backup-utility,100K+,0,api-management;databases-and-storage;security
itzg/apacheds,5M+,2,databases-and-storage;integration-and-delivery;security
kindest/local-path-helper,1M+,0,databases-and-storage;integration-and-delivery
dtagdevsec/elasticsearch,1M+,4,databases-and-storage;security
jaegertracing/jaeger,1M+,10,databases-and-storage;monitoring-and-observability
cbioportal/session-service,1M+,0,api-management;data-science;databases-and-storage
elestio/mysql,50K+,4,data-science;databases-and-storage;security
opendatacube/explorer,1M+,1,data-science;databases-and-storage;web-servers
apache/cassandra-testing-ubuntu2004-java11,1M+,2,databases-and-storage;integration-and-delivery;operating-systems
apache/cassandra-testing-ubuntu2004-java11-w-dependencies,1M+,1,databases-and-storage;integration-and-delivery;operating-systems
docker/for-desktop-kernel-grpcfuse,50K+,3,databases-and-storage;integration-and-delivery;operating-systems
openidentityplatform/opendj,1M+,22,api-management;databases-and-storage;security
deltaio/delta-sharing-server,1M+,7,data-science;databases-and-storage;security
dockurr/samba,1M+,94,databases-and-storage;networking;security
apache/superset-cache,1M+,2,data-science;databases-and-storage;monitoring-and-observability
elestio/redis,50K+,1,databases-and-storage;message-queues
intel/intel-fpga-plugin,50K+,0,databases-and-storage;integration-and-delivery;machine-learning-and-ai
onlyoffice/elasticsearch,50K+,2,databases-and-storage;integration-and-delivery;security
sitespeedio/graphite,1M+,78,databases-and-storage;monitoring-and-observability
apache/kvrocks,1M+,3,databases-and-storage;message-queues
edirom/project.zenmem.de,1M+,0,content-management-system;databases-and-storage;web-servers
rustfs/rustfs,1M+,37,databases-and-storage;networking
localstack/snowflake,50K+,2,databases-and-storage;machine-learning-and-ai;developer-tools
schemahero/schemahero,1M+,0,databases-and-storage
opendatacube/datacube-index,1M+,1,data-science;databases-and-storage
dtagdevsec/redis,1M+,0,databases-and-storage;message-queues;security
cyclos/cyclos,1M+,12,databases-and-storage;integration-and-delivery;security
dynatrace/easytravel-mongodb-content-creator,50K+,0,databases-and-storage;monitoring-and-observability
elestio/minio,50K+,10,databases-and-storage;integration-and-delivery;security
ddev/ddev-utilities,1M+,0,databases-and-storage;languages-and-frameworks;integration-and-delivery
vitess/vtctld,1M+,1,databases-and-storage;integration-and-delivery;monitoring-and-observability
elestio/directus,50K+,2,api-management;content-management-system;databases-and-storage
redislabs/gesher,10K+,0,databases-and-storage;integration-and-delivery;security
apache/ozone-runner,1M+,0,databases-and-storage;integration-and-delivery
mongodb/mongo-cxx-driver,10K+,2,databases-and-storage;languages-and-frameworks;integration-and-delivery
docksal/cli,1M+,8,databases-and-storage;languages-and-frameworks;integration-and-delivery
cleanstart/openldap,10K+,0,databases-and-storage
cleanstart/pgbouncer,10K+,1,databases-and-storage
linuxserver/phpmyadmin,1M+,26,databases-and-storage;web-servers
ckan/ckan-solr,1M+,0,content-management-system;databases-and-storage
apache/ozone,1M+,8,data-science;databases-and-storage;machine-learning-and-ai
elestio/nextcloud,10K+,6,content-management-system;databases-and-storage;security
rucio/rucio-daemons,1M+,1,data-science;databases-and-storage;integration-and-delivery
elestio/mariadb,10K+,2,databases-and-storage
vitess/vtctl,1M+,0,databases-and-storage;integration-and-delivery;monitoring-and-observability
dspace/dspace-postgres-pgcrypto,1M+,6,databases-and-storage;security
pgrouting/pgrouting,1M+,16,data-science;databases-and-storage;integration-and-delivery
longhornio/backing-image-manager,1M+,0,databases-and-storage
vitess/base,1M+,11,databases-and-storage;integration-and-delivery
apache/doris,1M+,48,data-science;databases-and-storage;internet-of-things
apache/drill,1M+,8,data-science;databases-and-storage
elestio/phpmyadmin,10K+,0,databases-and-storage;security
vitess/vtgate,1M+,2,databases-and-storage;integration-and-delivery
istio/examples-bookinfo-ratings-v2,1M+,0,databases-and-storage;integration-and-delivery;monitoring-and-observability
drupalci/mysql-5.5,1M+,3,content-management-system;databases-and-storage;integration-and-delivery
apache/kudu,1M+,13,data-science;databases-and-storage;machine-learning-and-ai
secoresearch/fuseki,1M+,14,data-science;databases-and-storage;web-analytics
elestio/kbin,10K+,1,databases-and-storage;machine-learning-and-ai;security
cleanstart/postgres,10K+,0,databases-and-storage
elestio/baserow-allinone,10K+,1,content-management-system;databases-and-storage
vitess/vtctlclient,500K+,2,databases-and-storage;integration-and-delivery;monitoring-and-observability
redis/rdi-collector-initializer,10K+,0,databases-and-storage;integration-and-delivery;developer-tools
apache/hadoop,500K+,130,data-science;databases-and-storage;integration-and-delivery
atlassian/dynamodb-elasticsearch-indexer,10K+,1,databases-and-storage;integration-and-delivery;monitoring-and-observability
longhornio/support-bundle-kit,500K+,0,databases-and-storage
corpusops/dbsmartbackup,500K+,0,databases-and-storage;integration-and-delivery;security
dockurr/portainer-backup,500K+,6,databases-and-storage;monitoring-and-observability
dragonflyoss/client,500K+,1,databases-and-storage
ckan/ckan-base-datapusher,500K+,0,databases-and-storage
apache/hive,500K+,40,data-science;databases-and-storage;machine-learning-and-ai
vitess/bootstrap,500K+,0,databases-and-storage
itzg/elasticsearch,500K+,72,databases-and-storage;monitoring-and-observability;web-analytics
cleanstart/cortex,10K+,0,databases-and-storage
rucio/rucio-server,500K+,3,data-science;databases-and-storage;monitoring-and-observability
istio/examples-bookinfo-mongodb,500K+,0,databases-and-storage;integration-and-delivery;monitoring-and-observability
drupalci/mysql-5.7,500K+,0,content-management-system;databases-and-storage;integration-and-delivery
apache/pegasus,500K+,4,databases-and-storage;integration-and-delivery;internet-of-things
koxudaxi/local-data-api,500K+,0,api-management;databases-and-storage;integration-and-delivery
google/apigee-cassandra-client,10K+,0,api-management;databases-and-storage
ddev/ddev-dbserver-mysql-5.7,500K+,1,databases-and-storage;integration-and-delivery;security
edirom/hoftheater-edirom,500K+,0,content-management-system;databases-and-storage;languages-and-frameworks
sslhep/servicex-transformer,500K+,0,data-science;databases-and-storage;integration-and-delivery
apache/bookkeeper,500K+,5,databases-and-storage;integration-and-delivery
sslhep/servicex-did-finder,500K+,0,data-science;databases-and-storage;integration-and-delivery
docker/artifactory-agent,10K+,6,databases-and-storage;integration-and-delivery;security
longhornio/longhorn-manager-test,500K+,0,databases-and-storage
longhornio/longhorn-test,500K+,0,databases-and-storage
vulhub/solr,500K+,2,databases-and-storage;security
onlyoffice/opensearch,10K+,0,data-science;databases-and-storage;monitoring-and-observability
linuxserver/sqlitebrowser,500K+,46,data-science;databases-and-storage;languages-and-frameworks
ubuntu/mimir,10K+,0,databases-and-storage
edirom/mermeid,500K+,0,content-management-system;databases-and-storage;web-servers
elestio/odoo,10K+,4,content-management-system;databases-and-storage;integration-and-delivery
istio/examples-bookinfo-mysqldb,100K+,0,databases-and-storage;integration-and-delivery
ualbertalib/docker-fcrepo4,100K+,1,content-management-system;databases-and-storage;integration-and-delivery
ddev/ddev-dbserver-mysql-8.0,100K+,0,databases-and-storage;languages-and-frameworks;integration-and-delivery
intel/qat-crypto-base,10K+,1,databases-and-storage;networking;security
gluufederation/opendj,100K+,4,databases-and-storage;monitoring-and-observability;security
apache/iotdb,100K+,12,databases-and-storage;internet-of-things;monitoring-and-observability
elestio/strapi-mysql-development,10K+,0,content-management-system;databases-and-storage;integration-and-delivery
rancher/confd,10K+,1,databases-and-storage;integration-and-delivery;networking
linuxserver/kavita,100K+,39,content-management-system;databases-and-storage;web-servers
farmos/farmos,100K+,23,content-management-system;databases-and-storage
archivebox/sonic,100K+,2,databases-and-storage
elestio/bytebase,10K+,1,databases-and-storage;integration-and-delivery;security
intel/intel-optimized-clickhouse,10K+,0,data-science;databases-and-storage;internet-of-things
elestio/bigcapital-mariadb,10K+,0,databases-and-storage;integration-and-delivery;security
docksal/ci-agent,100K+,0,databases-and-storage;integration-and-delivery;networking
drupalci/mysql-8,100K+,0,content-management-system;databases-and-storage;integration-and-delivery
elestio/strapi-mysql-production,10K+,1,api-management;content-management-system;databases-and-storage
elestio/bigcapital-redis,10K+,0,databases-and-storage;message-queues;security
vitess/pmm-client,100K+,2,databases-and-storage;monitoring-and-observability;security
redislabs/redisml,10K+,3,databases-and-storage;internet-of-things;machine-learning-and-ai
k8ssandra/create-keyspace,10K+,0,databases-and-storage;languages-and-frameworks;integration-and-delivery
edirom/nfdi-website,100K+,0,content-management-system;databases-and-storage;web-servers
cleanstart/mysql,10K+,0,databases-and-storage
docksal/mysql,100K+,0,databases-and-storage;integration-and-delivery;security
apache/hop,100K+,20,data-science;databases-and-storage;integration-and-delivery
eclipse/rdf4j-workbench,100K+,10,data-science;databases-and-storage;machine-learning-and-ai
vitess/vtadmin,100K+,0,databases-and-storage;integration-and-delivery;monitoring-and-observability
cleanstart/mongodb,10K+,0,databases-and-storage
vitess/vttablet,100K+,1,databases-and-storage;integration-and-delivery
tryton/tryton,100K+,52,databases-and-storage;languages-and-frameworks;integration-and-delivery
vdsm/virtual-dsm,100K+,99,databases-and-storage;operating-systems;web-servers
specifyconsortium/specify7-service,100K+,0,content-management-system;databases-and-storage;web-servers
dragonflyoss/scheduler,100K+,1,databases-and-storage
k8ssandra/cass-operator-bundle,10K+,0,databases-and-storage;integration-and-delivery;monitoring-and-observability
elestio/bigcapital-migration,10K+,0,databases-and-storage;integration-and-delivery;security
cleanstart/redis,10K+,0,databases-and-storage
apache/shardingsphere-proxy,100K+,19,databases-and-storage;integration-and-delivery;security
grafana/cloudsql-proxy,10K+,1,databases-and-storage;monitoring-and-observability;security
dragonflyoss/manager,100K+,3,databases-and-storage
apache/impala,100K+,5,data-science;databases-and-storage;integration-and-delivery
elestio/bigcapital-mongo,10K+,0,data-science;databases-and-storage;security
dragonflyoss/dfinit,100K+,0,databases-and-storage
rucio/rucio-ui,100K+,0,data-science;databases-and-storage;security
dumbwareio/dumbdrop,100K+,2,databases-and-storage
intel/model-registry,10K+,0,databases-and-storage;machine-learning-and-ai
eclipse/ditto-things-search,100K+,2,databases-and-storage;internet-of-things;security
atlassian/stash-data,10K+,5,databases-and-storage;integration-and-delivery;security
cleanstart/valkey,10K+,0,databases-and-storage
corpusops/elasticsearch,100K+,0,data-science;databases-and-storage;machine-learning-and-ai
vitess/mysqlctld,100K+,1,databases-and-storage;integration-and-delivery;monitoring-and-observability
elestio/solr,10K+,0,content-management-system;databases-and-storage;web-servers
elestio/parse-dashboard,10K+,2,content-management-system;databases-and-storage;monitoring-and-observability
visualregressiontracker/migration,100K+,0,databases-and-storage;integration-and-delivery
elestio/cells,10K+,0,content-management-system;databases-and-storage;security
longhornio/longhorn-cli,100K+,0,databases-and-storage
corpusops/postgres,100K+,0,databases-and-storage;monitoring-and-observability;security
corpusops/postgis,100K+,5,data-science;databases-and-storage
