image_name,pull_count
madroxdockerhub/java,23049
fromscratch/java,22778
microblink/java,11333
onstructive/java,8310
rstiller/java,12651
qasymphony/java,6284
imanticsiot/java,6404
entelectchallenge/java,17699
breadhost/java,5801
odtech/java,16540
ratd/java,15868
airhacks/java,5166
webratio/java,5644
thronspa/java,4791
graigala853/java,12553
melphos/java,11507
infotechsoft/java,4136
andreluiznsilva/java,4540
cyberdojofoundation/java,10974
php,1230163936
circleci/php,39689564
cimg/php,34385139
paketobuildpacks/php,8894774
serversideup/php,909035
chainguard/php,41147
dockette/php,300661
corpusops/php,310830
okteto/php,12020
vulhub/php,130764
thebiggive/php,21905
rootpublic/php,1553
ilios/php,1422
docksal/php,568
stagex/php,50
appsvc/php,69018074
owncloudci/php,35371898
arm32v7/php,26565515
thecodingmachine/php,7712281
wlniao/php,4327707
rightctrl/php,4441186
chialab/php,4560018
charlesportwoodii/php,4172183
spryker/php,9613342
arm64v8/php,4732204
amd64/php,4696553
gists/php,3288525
wordpressdevelop/php,4261298
umotif/php,16391456
ppc64le/php,4126251
wyrihaximusnet/php,3049891
i386/php,4425802
devwithlando/php,3304965
evpsradiology/php,11380773
appsvctest/php,1137091
edyan/php,3281759
luky/php,2610788
atsystem/php,6808137
nymediaas/php,779538
oberonamsterdam/php,2240015
gemoroy/php,5291211
webdevops/php,1648926
openruntimes/php,1009485
joebiellik/php,2420368
harborcomplianceorg/php,1003358
s390x/php,2454983
amazeeio/php,4437145
ccitest/php,942345
phpdockerio/php,664287
arm32v5/php,2271310
wodby/php,1402254
tetraweb/php,1733724
arm32v6/php,2074076
efabrica/php,818196
jrcs/php,533816
stickee/php,1092825
mips64le/php,1121827
unleashed/php,494387
lawnstarter/php,664771
davidalger/php,422121
kooldev/php,435919
iron/php,1714123
chekote/php,679660
konjak/php,610633
khs1994/php,1966590
adbv/php,222710
shinsenter/php,527561
ezsystems/php,558968
jitesoft/php,433065
drupaldocker/php,308507
jcid/php,240288
kolyadin/php,621354
brumbrum/php,451647
extremeshok/php,289227
teamcodework/php,511488
ccistaging/php,320691
mitting/php,1487496
nasajon/php,141697
dealerdirect/php,1177352
rosti/php,319206
tidyapp/php,211771
halplatform/php,266245
easyengine/php,274040
phundament/php,1086721
usabillabv/php,415631
interlutions/php,159093
phpdaily/php,241565
peckadesign/php,180382
renovate/php,909007
forspam20/php,893908
lephare/php,943336
qonstrukt/php,242471
prooph/php,227184
gustavofreze/php,145140
in2code/php,233771
r0bj/php,775116
vicampo/php,175788
devoops/php,156147
cornernote/php,183342
containerbase/php,127598
ruby,1486421467
cimg/ruby,245631586
circleci/ruby,369719523
bitnami/ruby,27768721
paketobuildpacks/ruby,6827841
chainguard/ruby,17035
datadog/ruby,11570
okteto/ruby,7374
corpusops/ruby,179682
manageiq/ruby,13999
vulhub/ruby,14123
nanozoo/ruby,108
appsvc/ruby,38133975
karthequian/ruby,48364156
iron/ruby,4836923
rylnd/ruby,9035672
pivotalcfreleng/ruby,8389071
aptible/ruby,2426652
tnwhitwell/ruby,2056391
rubylang/ruby,1591426
swoopcircleci/ruby,6843816
openruntimes/ruby,1008941
arm64v8/ruby,1071732
odpks/ruby,3340191
wealthsimple/ruby,1940817
flowspace/ruby,2254174
amd64/ruby,1069978
appsvctest/ruby,458380
i386/ruby,962656
tinypulse/ruby,576160
arm32v7/ruby,894227
s390x/ruby,801681
instructure/ruby,407111
liaisonintl/ruby,415607
kapost/ruby,303713
gusto/ruby,375359
arm32v5/ruby,578126
influitive/ruby,351142
dmitryrck/ruby,193365
xfersprodserver/ruby,1246562
semaphoreci/ruby,222149
renovate/ruby,1024792
ppc64le/ruby,878847
mips64le/ruby,318979
joinswoop/ruby,2084645
sweorg/ruby,825051
weinfuse/ruby,182650
fablic/ruby,576898
teamenvoy/ruby,272283
forestryio/ruby,365590
phogo/ruby,424036
bdfoster/ruby,557145
smarthr/ruby,418239
rnds/ruby,116640
rosti/ruby,124886
beenverifiedinc/ruby,387306
fromscratch/ruby,1195654
trollin/ruby,351770
rvshare/ruby,330934
delner/ruby,109259
ccitest/ruby,217663
payt/ruby,67499
piesystems/ruby,75225
salesloft/ruby,282882
arm32v6/ruby,281447
inventables/ruby,213994
marinad/ruby,78307
searchgov/ruby,198007
residently/ruby,220734
emsaus/ruby,65538
pacecar/ruby,63860
halalbooking/ruby,155184
containerbase/ruby,32918
9a91805492bd/ruby,143287
storenvy/ruby,50139
buildrtech/ruby,147543
howlerp45/ruby,119723
agideo/ruby,28803
procoretech/ruby,138756
governmentpaas/ruby,101650
metropa/ruby,28012
boostnz/ruby,36030
secureruby/ruby,71490
autogrid/ruby,121459
creditas/ruby,95087
ccistaging/ruby,32334
informedops/ruby,248771
lilregie/ruby,101777
papinotas/ruby,90672
getslingshot/ruby,84641
edenwizards/ruby,85287
rubybench/ruby,46047
salemove/ruby,84289
minimum2scp/ruby,28937
seapy/ruby,20683
uolcz/ruby,80002
embraslabs/ruby,23883
codebattle/ruby,76451
gmsdocker/ruby,158158
ministryofjustice/ruby,24284
golang,2327595363
circleci/golang,50147217
okteto/golang,531065
bitnami/golang,948837
antrea/golang,552345
rancher/golang,37345
alpinelinux/golang,60908
corpusops/golang,139761
rootpublic/golang,1259
pivotalcfreleng/golang,35226170
jetbrainsinfra/golang,13441745
odpks/golang,28778857
jelastic/golang,6480414
webhippie/golang,1649874
amd64/golang,1568862
idoall/golang,449955
cfinfrastructure/golang,3479432
cycloid/golang,3358099
arm32v7/golang,744435
arm64v8/golang,979107
winamd64/golang,672222
i386/golang,615950
s390x/golang,598580
tmobilecf/golang,1293465
pivnet/golang,1107094
ppc64le/golang,459535
qbtrade/golang,1218286
kaarthikshakthi2/golang,875284
arm32v6/golang,265446
shyxormz/golang,716175
pvtlmc/golang,946322
os33/golang,706928
bdfoster/golang,557321
beyondsecurity/golang,540150
brumbrum/golang,616915
pacificporter/golang,110221
estafette/golang,385733
vungle/golang,385105
owncloudci/golang,376731
mips64le/golang,141776
afisme/golang,94913
zhoujun/golang,392776
goboring/golang,297112
arm32v5/golang,113312
instructure/golang,67917
devbeta/golang,349386
convertingnetwork/golang,50438
trollin/golang,299039
rigado/golang,141203
ccitest/golang,139213
mpfmedical/golang,159769
snowdreamtech/golang,29010
tsovak/golang,56034
liuquan0722/golang,101776
dockerpinata/golang,95345
wpengine/golang,22628
bamx/golang,24962
governmentpaas/golang,101694
eirinistaging/golang,78409
codebattle/golang,74657
nimmis/golang,33421
eidolons/golang,27123
countingup/golang,33464
everledgerio/golang,26067
salesloft/golang,51567
corelight/golang,17982
semaphoreci/golang,13703
tozny/golang,11073
framer/golang,61000
winchci/golang,47050
kankush/golang,47011
diamol/golang,45463
fifintegracion/golang,44323
accupara/golang,45578
apecloud/golang,44616
fundingsocietiesdocker/golang,41224
gofunky/golang,18041
zirra/golang,17994
mooncamp/golang,33443
storjlabs/golang,32050
swordhealth/golang,31968
bellhops/golang,38200
fuzzitdev/golang,10169
sylabsio/golang,31108
pcinc/golang,28666
malston/golang,26647
apextoaster/golang,12685
bd2f768b/golang,27476
agrozyme/golang,11959
glabbr/golang,25754
aimvector/golang,23888
soajsorg/golang,30491
thedumptruck/golang,11026
mondoolabs/golang,24525
landedhomes/golang,8220
shivam010/golang,12274
jspc/golang,22930
mondoohq/golang,20518
freshworks/golang,19699
ccistaging/golang,24633
georchestra/database,31581
deis/database,12005184
storyscript/database,538133
liferaycloud/database,307898
tenlastic/database,280063
flosuckert97/database,81476
logcomexdevops/database,72982
deisci/database,60454
deviarch/database,12785
growcomputerinc/database,3796
kodokojo/database,10494
aaronbronow/database,8424
rmts/database,7223
observatorio/database,6559
shabados/database,5620
gradido/database,5378
overview/database,2468
dionerait/database,4842
telematicsdevteam/database,3724
digitalexcellence/database,1233
oshp/database,1687
bitryt/database,1741
innovaceprojects/database,3171
jhansimurugavel/database,2565
spargo/database,2668
teleniuminc/database,1263
petrjahoda/database,2588
datagaps/database,2419
nearaurora/database,1986
telematicsdevteams/database,1759
conduitplatform/database,1437
goatcommunity/database,1442
fogbow/database,1466
mvauth/database,1480
bearpass/database,1444
initrode/database,1398
herensuge/database,1265
fashaikh7/database,1224
wongames/database,1209
icecrawler/database,1086
sp4c3c4t/database,1059
stevenjp/database,1031
elijose55/database,1055
nhutfessional/database,1085
hephy/database,597
zeustartan/database,564
sysuquant/database,1029
mariaelisacf/database,1021
systemautoscaler/database,958
gpao/database,963
andreluiznsilva/database,936
siaconnect/database,550
interactiveuser01/database,838
openbiomaps/database,840
marianabetancur14/database,782
kubernetesmailserver/database,489
vmaas/database,754
flumecloudservices/database,458
mansoonseason77/database,750
sminot/database,741
glenux/database,721
andreazorzetto/database,625
iamjeerge/database,608
hsin1128/database,616
lyubutinan/database,654
opennem/database,638
meetarticles/database,573
arhadon/database,575
amineakdim/database,595
lmateos/database,552
sgoings/database,543
ilyach/database,296
comm/database,308
nekkoy/database,237
sparklegifts/database,434
scitizen/database,470
sanedev/database,438
cofoot/database,427
icehofman/database,257
juanca548/database,430
flagprotectors/database,443
shintech/database,404
wouterloeve1337/database,431
fishbowldev/database,410
slaventiysvat/database,265
rnakato/database,414
strixeye/database,234
ogochukwuozotta/database,407
mbsimenv/database,375
ablasco/database,367
pbbg/database,390
efaps/database,182
cauldronio/database,359
pensersauvage/database,223
titiyoyo/database,357
mealplan/database,373
cloaiza/database,368
dockenstack/database,333
juankanh/database,355
pvt2024/database,347
redis,9589098665
